"naziv","kategorija","lokacija","napomena"
"Stari grad","UNESCO bastina","Dubrovnik","kulturna"
"Plitvicka jezera","UNESCO bastina","Gospić","prirodna"
"Dioklecijanova palaca","UNESCO bastina","Split","kulturna"
"Stari grad","UNESCO bastina","Trogir","kulturna"
"Eufrazijeva bazilika","UNESCO bastina","Poreč","kulturna"
"Katedrala sv. Jakova","UNESCO bastina","Šibenik","kulturna"
"Starogradsko polje","UNESCO bastina","Hvar","kulturna"
"Nacionalni park Plitvicka jezera","Nacionalni park","Gospić","prirodna"
"Nacionalni park Paklenica","Nacionalni park","Zadar","prirodna"
"Nacionalni park Risnjak","Nacionalni park","Karlovac","prirodna"
"Nacionalni park Mljet","Nacionalni park","Mljet","prirodna"
"Nacionalni park Kornati","Nacionalni park","Šibenik","prirodna"
"Nacionalni park Krka","Nacionalni park","Šibenik","prirodna"
"Nacionalni park Brijuni","Nacionalni park","Pula","prirodna"
"Nacionalni park Sjeverni Velebit","Nacionalni park","Gospić","prirodna"
"Park prirode Lonjsko polje","Park prirode","Sisak","prirodna"
"Park prirode Kopacki rit","Park prirode","Osijek","prirodna"
"Park prirode Medvednica","Park prirode","Zagreb","prirodna"
"Park prirode Biokovo","Park prirode","Makarska","prirodna"
"Park prirode Velebit","Park prirode","Gospić","prirodna"
"Park prirode Zumberak - Samoborsko gorje","Park prirode","Zagreb","prirodna"
"Park prirode Ucka","Park prirode","Rijeka","prirodna"
"Park prirode Telascica","Park prirode","Zadar","prirodna"
"Park prirode Lastovsko otocje","Park prirode","Lastovo","prirodna"
"Park prirode Vransko jezero","Park prirode","Zadar","prirodna"
