grad_a,grad_b,trajanje_min
Blato,Korčula,41
Blato,Lumbarda,46
Blato,smokvica,8
Blato,Vela Luka,13
Dubrovnik,Konavle,30
Dubrovnik,Ston,66
Dubrovnik,Makarska,171
Dubrovnik,Split,199
Konavle,Ston,86
Korčula,Lumbarda,10
Korčula,smokvica,41
Korčula,Vela Luka,50
Lumbarda,smokvica,46
Lumbarda,Vela Luka,55
smokvica,Vela Luka,17
Ston,Kaštela,149
Ston,Makarska,115
Ston,Sinj,146
Ston,Solin,146
Ston,Split,143
Ston,Primošten,186
Ston,Skradin,175
Ston,Šibenik,169
Ston,Pag,248
Ston,Zadar,217
Ston,Brinje,290
Ston,Gospić,252
Ston,Senj,312
Ston,Slunj,328
Ston,Đakovo,417
Ston,Ilok,474
Ston,Slavonski Brod,403
Ston,Vinkovci,437
Bol,Supetar,46
Hvar,Jelsa,39
Hvar,Stari Grad,28
Jelsa,Stari Grad,15
Kaštela,Makarska,77
Kaštela,Sinj,44
Kaštela,Solin,20
Kaštela,Split,21
Kaštela,Trogir,15
Kaštela,Knin,104
Kaštela,Murter,100
Kaštela,Primošten,51
Kaštela,Rogoznica,44
Kaštela,Skradin,65
Kaštela,Šibenik,60
Kaštela,Pag,138
Kaštela,Zadar,107
Kaštela,Brinje,181
Kaštela,Gospić,143
Kaštela,Karlovac,228
Kaštela,Senj,202
Kaštela,Slunj,218
Komiža,Vis,24
Makarska,Sinj,74
Makarska,Solin,74
Makarska,Split,72
Makarska,Knin,148
Makarska,Murter,138
Makarska,Primošten,114
Makarska,Skradin,103
Makarska,Šibenik,97
Makarska,Pag,176
Makarska,Zadar,145
Makarska,Zagreb,298
Makarska,Brinje,218
Makarska,Gospić,180
Makarska,Karlovac,266
Makarska,Senj,240
Makarska,Slunj,256
Makarska,Slavonski Brod,379
Sinj,Solin,41
Sinj,Split,38
Sinj,Trogir,56
Sinj,Knin,82
Sinj,Murter,109
Sinj,Primošten,86
Sinj,Skradin,75
Sinj,Šibenik,69
Sinj,Pag,147
Sinj,Zadar,116
Sinj,Zagreb,270
Sinj,Brinje,190
Sinj,Gospić,152
Sinj,Karlovac,237
Sinj,Senj,211
Sinj,Slunj,227
Sinj,Slavonski Brod,359
Solin,Split,21
Solin,Trogir,33
Solin,Murter,113
Solin,Skradin,79
Solin,Šibenik,73
Solin,Zadar,120
Split,Murter,111
Split,Skradin,76
Split,Šibenik,71
Split,Pag,149
Split,Zadar,118
Split,Brinje,192
Split,Gospić,154
Trogir,Knin,102
Trogir,Murter,98
Trogir,Primošten,41
Trogir,Rogoznica,34
Trogir,Skradin,63
Trogir,Šibenik,58
Trogir,Nin,118
Trogir,Pag,136
Trogir,Zadar,105
Trogir,Zagreb,259
Trogir,Brinje,179
Trogir,Gospić,141
Trogir,Karlovac,226
Trogir,Senj,200
Trogir,Slunj,216
Trogir,Samobor,260
Knin,Murter,91
Knin,Primošten,96
Knin,Skradin,64
Knin,Šibenik,69
Knin,Nin,115
Knin,Pag,133
Knin,Zadar,102
Knin,Zagreb,241
Knin,Rijeka,246
Knin,Brinje,161
Knin,Gospić,123
Knin,Karlovac,209
Knin,Senj,183
Knin,Slunj,181
Knin,Slavonski Brod,317
Knin,Sisak,269
Knin,Samobor,243
Murter,Skradin,57
Murter,Šibenik,49
Murter,Nin,100
Murter,Pag,118
Murter,Zadar,87
Murter,Zagreb,240
Murter,Rijeka,246
Murter,Brinje,161
Murter,Gospić,123
Murter,Karlovac,208
Murter,Senj,182
Murter,Slunj,198
Murter,Sisak,268
Murter,Samobor,242
Primošten,Rogoznica,13
Primošten,Skradin,54
Primošten,Šibenik,37
Primošten,Nin,109
Primošten,Pag,127
Primošten,Zadar,96
Primošten,Zagreb,249
Primošten,Rijeka,254
Primošten,Brinje,169
Primošten,Gospić,131
Primošten,Karlovac,217
