ime,otok,regija
Komiža,Vis,Dalmacija-Split
Vis,Vis,Dalmacija-Split
Hvar,Hvar,Dalmacija-Split
Jelsa,Hvar,Dalmacija-Split
Stari Grad,Hvar,Dalmacija-Split
Sućuraj,Hvar,Dalmacija-Split
Supetar,Brač,Dalmacija-Split
Bol,Brač,Dalmacija-Split
Sumartin,Brač,Dalmacija-Split
Milna,Brač,Dalmacija-Split
Rogač,Šolta,Dalmacija-Split
Korčula,Korčula,Dalmacija-Dubrovnik
Vela Luka,Korčula,Dalmacija-Dubrovnik
Blato,Korčula,Dalmacija-Dubrovnik
Lumbarda,Korčula,Dalmacija-Dubrovnik
Smokvica,Korčula,Dalmacija-Dubrovnik
Lastovo,Lastovo,Dalmacija-Dubrovnik
Sobra,Mljet,Dalmacija-Dubrovnik
Suđurađ,Šipan,Dalmacija-Dubrovnik
Lopud,Lopud,Dalmacija-Dubrovnik
Koločep,Koločep,Dalmacija-Dubrovnik
Trpanj,Pelješac,Dalmacija-Dubrovnik
Orebić,Pelješac,Dalmacija-Dubrovnik
Preko,Ugljan,Dalmacija-Zadar
Tkon,Pašman,Dalmacija-Zadar
Brbinj,Dugi Otok,Dalmacija-Zadar
Novalja,Pag,Dalmacija-Zadar
Mali Lošinj,Lošinj,Kvarner
Valbiska,Krk,Kvarner
Lopar,Rab,Kvarner
Merag,Cres,Kvarner
Porozina,Cres,Kvarner
