"ime","regija"
"Koločep","Dalmacija-Dubrovnik"
"Korčula","Dalmacija-Dubrovnik"
"Lastovo","Dalmacija-Dubrovnik"
"Lopud","Dalmacija-Dubrovnik"
"Lumbarda","Dalmacija-Dubrovnik"
"Mljet","Dalmacija-Dubrovnik"
"Pelješac","Dalmacija-Dubrovnik"
"Šipan","Dalmacija-Dubrovnik"
"Brač","Dalmacija-Split"
"Hvar","Dalmacija-Split"
"Vis","Dalmacija-Split"
"Šolta","Dalmacija-Split"
"Dugi Otok","Dalmacija-Zadar"
"Pag","Dalmacija-Zadar"
"Pašman","Dalmacija-Zadar"
"Silba","Dalmacija-Zadar"
"Ugljan","Dalmacija-Zadar"
"Cres","Kvarner"
"Krk","Kvarner"
"Lošinj","Kvarner"
"Rab","Kvarner"
